feature,importance
cat__Surname_Ch'ien,0.000313186854334192
cat__Surname_Rossi,0.0003130905847498336
cat__Surname_Greece,0.00031268555344917916
cat__Surname_King,0.0003114826555414897
cat__Surname_Azubuike,0.0003100761473788417
cat__Surname_Huang,0.00030855120819943594
cat__Surname_Okwukwe,0.0003084322896167279
cat__Surname_Ginikanwa,0.0003077420557042794
cat__Surname_Mironova,0.00030739323656741343
cat__Surname_Nixon,0.00030694795768632224
cat__Surname_Blake,0.00030531630173697804
cat__Surname_Summers,0.000304973202289051
cat__Surname_Graham,0.0003044392500298605
cat__Surname_Kovalyova,0.00030405850518679204
cat__Surname_Lambert,0.0003035032188505961
cat__Surname_Lavrov,0.00030292209441140904
cat__Surname_Power,0.0003025824549535721
cat__Surname_Shipton,0.00030165130132116046
cat__Surname_Watt,0.00030124404120622793
cat__Surname_Merrett,0.0003012383240995248
cat__Surname_Pope,0.0003011893201332611
cat__Surname_Keeley,0.00030088049520830205
cat__Surname_Trentino,0.0003008597693381119
cat__Surname_Lorenzo,0.0003004740039830134
cat__Surname_Beneventi,0.00030024200283818996
cat__Surname_Sanderson,0.00030022286591302867
cat__Surname_Singh,0.00029966883799982904
cat__Surname_Davis,0.0002996480070473335
cat__Surname_Calabresi,0.00029950070566291256
cat__Surname_Robinson,0.0002990640160835934
cat__Surname_Owens,0.00029883972725286206
cat__Surname_Ts'ai,0.000298106379441929
cat__Surname_Iheanacho,0.00029734710656680003
cat__Surname_Sergeyeva,0.0002956028012071718
cat__Surname_Parkin,0.00029522998667599784
cat__Surname_Northern,0.0002946445207442892
cat__Surname_McMillan,0.0002941960796581455
cat__Surname_Ni,0.00029400131817435796
cat__Surname_Nwora,0.0002934744197236284
cat__Surname_Chiawuotu,0.00029148547200378357
cat__Surname_Schofield,0.0002914161332878954
cat__Surname_Hudson,0.000291353903449466
cat__Surname_Okeke,0.00029037343347516247
cat__Surname_Trentini,0.00029007668016605776
cat__Surname_Hare,0.0002900384560588664
cat__Surname_Olszewski,0.0002899932271717554
cat__Surname_Praed,0.0002892790488000849
cat__Surname_Onuora,0.0002881272641121902
cat__Surname_Baryshnikov,0.00028661121929953625
cat__Surname_Fiorentino,0.0002865728833144761
cat__Surname_Amadi,0.00028651182180923024
cat__Surname_Downer,0.0002860675562845855
cat__Surname_Tsai,0.0002848709865458683
cat__Surname_Vasin,0.0002841448276655758
cat__Surname_Iqbal,0.00028352389803733437
cat__Surname_Artemova,0.0002832761765478375
cat__Surname_Ogochukwu,0.0002830660458921892
cat__Surname_K'ung,0.00028224341982337165
cat__Surname_Yefremova,0.0002813899476316605
cat__Surname_Y?,0.0002812420209977742
cat__Surname_Hale,0.00028096755236215755
cat__Surname_Allan,0.0002805900222793348
cat__Surname_Ofodile,0.00028045318201709384
cat__Surname_Folliero,0.0002801535458858007
cat__Surname_Konovalova,0.0002791150230241147
cat__Surname_Demidov,0.0002780252059676634
cat__Surname_Udinese,0.0002778983111160699
cat__Surname_Woods,0.0002777552070368826
cat__Surname_Chidozie,0.000276982087024586
cat__Surname_Bell,0.0002763243314437301
cat__Surname_Leonard,0.00027442462631312365
cat__Surname_Foveaux,0.0002743790348125454
cat__Surname_Findlay,0.0002736717053644391
cat__Surname_Lloyd,0.000273108187995343
cat__Surname_Blinova,0.00027303998616874176
cat__Surname_Dawson,0.00027243500156426685
cat__Surname_Obijiaku,0.00027228945124959763
cat__Surname_Enemuo,0.0002720273930408062
cat__Surname_Siciliani,0.0002711627180425477
cat__Surname_Hanson,0.00027040588589202514
cat__Surname_Barclay-Harvey,0.00026980388879451937
cat__Surname_Lucciano,0.0002696909684211224
cat__Surname_Marshall,0.0002664471166300095
cat__Surname_Buccho,0.00026534147317972126
cat__Surname_Sells,0.00026459524938529655
cat__Surname_Piazza,0.0002642420767952746
cat__Surname_Okwudilichukwu,0.0002635571799711743
cat__Surname_Snider,0.0002626411421588662
cat__Surname_Myers,0.00026231223936787253
cat__Surname_Hooper,0.0002621464480281662
cat__Surname_Chidumaga,0.00026088381396060866
cat__Surname_Clarke,0.0002606414995546258
cat__Surname_Ramos,0.00026047701052372144
cat__Surname_Kharlamov,0.0002604667239900955
cat__Surname_Genovesi,0.0002601789062181191
cat__Surname_Frolov,0.0002596826904517179
cat__Surname_Chialuka,0.0002593128211931513
cat__Surname_Artemiev,0.00025918073648467454
cat__Surname_Lombardo,0.0002584140197688955
cat__Surname_Ts'ui,0.0002583348730969253
cat__Surname_Moreno,0.0002583122725878172
cat__Surname_Hussey,0.0002578306639458116
cat__Surname_Angel,0.0002577865948866697
cat__Surname_Lettiere,0.00025736289743500036
cat__Surname_Amaechi,0.00025555708844594345
cat__Surname_Beavers,0.0002554043019743161
